"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
2;"C2,C4,C5,C3,C8";"C_0805_2012Metric";5;"C_0805_0.1uf";;;
3;"C7,C6";"C_0805_2012Metric";2;"C_0805_22pf";;;
4;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
5;"U2";"TO-252-2";1;"L7805";;;
6;"C1,C9";"C_0805_2012Metric";2;"C_0805_10uf";;;
7;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
8;"SW3,SW1,SW2,SW4";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
9;"R6";"R_0805_2012Metric";1;"R_0805_22K";;;
10;"R4,R7,R10,R8";"R_0805_2012Metric";4;"R_0805_10K";;;
11;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
12;"DS1";"Adafruit-1001-0-0-MFG";1;"LED_Display_1001";;;
13;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
14;"R5,R3";"R_0805_2012Metric";2;"R_0805_4.7K";;;
15;"U4";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
16;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
17;"R1,R2";"R_0805_2012Metric";2;"R_0805_47";;;
18;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
19;"R9";"R_0805_2012Metric";1;"R_0805_2.2K";;;
20;"U3";"DIP-24_W7.62mm";1;"MAX7219";;;
21;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
22;"J1";"Wurth-694106402002";1;"Power_inlet_vertical";;;
